id;period;day;month;year;weekday
383;A NOITE;19;4;1991;friday
384;A NOITE;19;4;2002;friday
385;A NOITE;19;4;2013;friday
386;A NOITE;19;4;2019;friday
387;A NOITE;19;5;2017;friday
388;A NOITE;19;6;2015;friday
389;A NOITE;19;7;2013;friday
390;A NOITE;19;7;2019;friday
391;A NOITE;19;8;2011;friday
392;A NOITE;19;8;2016;friday
393;A NOITE;19;9;2008;friday
394;A NOITE;19;9;2014;friday
395;A NOITE;19;10;1979;friday
396;A NOITE;19;10;2001;friday
397;A NOITE;19;10;2012;friday
398;A NOITE;19;10;2018;friday
399;A NOITE;19;11;2010;friday
400;A NOITE;19;12;2014;friday
401;A NOITE;20;1;1978;friday
402;A NOITE;20;1;2012;friday
403;A NOITE;20;1;2017;friday
404;A NOITE;20;2;2015;friday
405;A NOITE;20;3;2009;friday
406;A NOITE;20;3;2015;friday
407;A NOITE;20;4;2001;friday
408;A NOITE;20;4;2012;friday
409;A NOITE;20;4;2018;friday
410;A NOITE;20;5;2011;friday
411;A NOITE;20;5;2016;friday
412;A NOITE;20;6;2008;friday
413;A NOITE;20;6;2014;friday
414;A NOITE;20;7;2007;friday
415;A NOITE;20;7;2012;friday
416;A NOITE;20;7;2018;friday
417;A NOITE;20;9;2013;friday
418;A NOITE;20;10;2006;friday
419;A NOITE;20;10;2017;friday
420;A NOITE;20;11;2015;friday
421;A NOITE;20;12;2013;friday
422;A NOITE;21;1;2011;friday
423;A NOITE;21;2;2014;friday
424;A NOITE;21;3;2014;friday
425;A NOITE;21;4;1978;friday
426;A NOITE;21;4;2017;friday
427;A NOITE;21;5;1982;friday
428;A NOITE;21;5;2010;friday
429;A NOITE;21;6;2013;friday
430;A NOITE;21;6;2019;friday
431;A NOITE;21;7;2017;friday
432;A NOITE;21;8;2015;friday
433;A NOITE;21;9;1973;friday
434;A NOITE;21;9;2012;friday
435;A NOITE;21;9;2018;friday
436;A NOITE;21;10;2011;friday
437;A NOITE;21;10;2016;friday
438;A NOITE;21;11;2014;friday
439;A NOITE;21;12;2012;friday
440;A NOITE;21;12;2018;friday
441;A NOITE;22;1;2010;friday
442;A NOITE;22;1;2016;friday
443;A NOITE;22;2;1985;friday
444;A NOITE;22;2;2013;friday
445;A NOITE;22;2;2019;friday
446;A NOITE;22;3;2013;friday
447;A NOITE;22;3;2019;friday
448;A NOITE;22;4;2011;friday
449;A NOITE;22;4;2016;friday
450;A NOITE;22;5;2015;friday
451;A NOITE;22;6;2007;friday
452;A NOITE;22;6;2012;friday
453;A NOITE;22;6;2018;friday
454;A NOITE;22;7;2011;friday
455;A NOITE;22;7;2016;friday
456;A NOITE;22;8;2014;friday
457;A NOITE;22;9;2017;friday
458;A NOITE;22;10;2010;friday
459;A NOITE;22;11;1991;friday
460;A NOITE;22;11;2002;friday
461;A NOITE;22;11;2013;friday
462;A NOITE;22;12;2017;friday
463;A NOITE;23;1;2015;friday
464;A NOITE;23;2;2001;friday
465;A NOITE;23;2;2018;friday
466;A NOITE;23;3;1979;friday
467;A NOITE;23;3;2012;friday
468;A NOITE;23;3;2018;friday
469;A NOITE;23;4;1993;friday
470;A NOITE;23;4;2010;friday
471;A NOITE;23;5;1997;friday
472;A NOITE;23;5;2014;friday
473;A NOITE;23;6;2017;friday
474;A NOITE;23;8;2013;friday
475;A NOITE;23;9;2011;friday
476;A NOITE;23;9;2016;friday
477;A NOITE;23;10;2015;friday
478;A NOITE;23;11;2012;friday
479;A NOITE;23;11;2018;friday
480;A NOITE;23;12;2011;friday
481;A NOITE;23;12;2016;friday
482;A NOITE;24;1;2014;friday
483;A NOITE;24;2;1978;friday
484;A NOITE;24;2;2012;friday
485;A NOITE;24;2;2017;friday
486;A NOITE;24;3;2017;friday
487;A NOITE;24;4;1987;friday
488;A NOITE;24;4;2015;friday
489;A NOITE;24;5;2013;friday
490;A NOITE;24;5;2019;friday
491;A NOITE;24;6;2011;friday
492;A NOITE;24;6;2016;friday
493;A NOITE;24;7;1992;friday
494;A NOITE;24;7;1998;friday
495;A NOITE;24;7;2015;friday
496;A NOITE;24;8;2012;friday
497;A NOITE;24;8;2018;friday
498;A NOITE;24;9;1999;friday
499;A NOITE;24;9;2010;friday
500;A NOITE;24;10;2014;friday
501;A NOITE;24;11;2017;friday
502;A NOITE;24;12;2004;friday
503;A NOITE;24;12;2010;friday
504;A NOITE;25;1;2013;friday
505;A NOITE;25;1;2019;friday
506;A NOITE;25;2;1994;friday
507;A NOITE;25;2;2011;friday
508;A NOITE;25;3;2011;friday
509;A NOITE;25;3;2016;friday
510;A NOITE;25;4;2014;friday
511;A NOITE;25;5;2007;friday
512;A NOITE;25;5;2012;friday
513;A NOITE;25;5;2018;friday
514;A NOITE;25;6;2010;friday
515;A NOITE;25;7;2014;friday
516;A NOITE;25;8;2017;friday
517;A NOITE;25;9;2015;friday
518;A NOITE;25;10;1991;friday
519;A NOITE;25;10;2013;friday
520;A NOITE;25;11;2011;friday
521;A NOITE;25;11;2016;friday
522;A NOITE;25;12;2015;friday
523;A NOITE;26;1;2001;friday
524;A NOITE;26;1;2018;friday
525;A NOITE;26;2;1993;friday
526;A NOITE;26;2;2016;friday
527;A NOITE;26;4;2013;friday
528;A NOITE;26;4;2019;friday
529;A NOITE;26;5;2017;friday
530;A NOITE;26;6;1992;friday
531;A NOITE;26;6;2015;friday
532;A NOITE;26;7;1991;friday
533;A NOITE;26;7;2013;friday
534;A NOITE;26;7;2019;friday
535;A NOITE;26;8;2011;friday
536;A NOITE;26;8;2016;friday
537;A NOITE;26;9;2008;friday
538;A NOITE;26;9;2014;friday
539;A NOITE;26;10;2012;friday
540;A NOITE;26;10;2018;friday
541;A NOITE;26;11;2010;friday
542;A NOITE;26;12;2003;friday
543;A NOITE;26;12;2014;friday
544;A NOITE;27;1;2012;friday
545;A NOITE;27;1;2017;friday
546;A NOITE;27;2;2015;friday
547;A NOITE;27;3;1964;friday
548;A NOITE;27;3;1998;friday
549;A NOITE;27;3;2015;friday
550;A NOITE;27;4;2001;friday
551;A NOITE;27;4;2012;friday
552;A NOITE;27;4;2018;friday
553;A NOITE;27;5;2011;friday
554;A NOITE;27;5;2016;friday
555;A NOITE;27;6;2014;friday
556;A NOITE;27;7;2012;friday
557;A NOITE;27;7;2018;friday
558;A NOITE;27;9;1968;friday
559;A NOITE;27;9;1974;friday
560;A NOITE;27;9;2013;friday
561;A NOITE;27;10;1995;friday
562;A NOITE;27;10;2017;friday
563;A NOITE;27;11;2015;friday
564;A NOITE;27;12;2013;friday
565;A NOITE;28;1;2011;friday
566;A NOITE;28;2;2003;friday
567;A NOITE;28;2;2014;friday
568;A NOITE;28;3;2014;friday
569;A NOITE;28;4;2017;friday
570;A NOITE;28;5;2010;friday
571;A NOITE;28;6;1991;friday
572;A NOITE;28;6;2013;friday
573;A NOITE;28;6;2019;friday
574;A NOITE;28;7;2017;friday
575;A NOITE;28;8;2015;friday
576;A NOITE;28;9;2001;friday
577;A NOITE;28;9;2012;friday
578;A NOITE;28;9;2018;friday
579;A NOITE;28;10;2011;friday
580;A NOITE;28;10;2016;friday
581;A NOITE;28;11;2008;friday
582;A NOITE;28;11;2014;friday
583;A NOITE;28;12;2012;friday
584;A NOITE;28;12;2018;friday
585;A NOITE;29;1;2010;friday
586;A NOITE;29;1;2016;friday
587;A NOITE;29;2;2008;friday
588;A NOITE;29;3;2013;friday
589;A NOITE;29;3;2019;friday
590;A NOITE;29;4;1994;friday
591;A NOITE;29;4;2011;friday
592;A NOITE;29;4;2016;friday
593;A NOITE;29;5;1959;friday
594;A NOITE;29;5;2015;friday
595;A NOITE;29;6;1984;friday
596;A NOITE;29;6;2012;friday
597;A NOITE;29;6;2018;friday
598;A NOITE;29;7;2011;friday
599;A NOITE;29;7;2016;friday
600;A NOITE;29;8;2014;friday
601;A NOITE;29;9;1989;friday
602;A NOITE;29;9;2017;friday
603;A NOITE;29;10;2010;friday
604;A NOITE;29;11;2013;friday
605;A NOITE;29;12;2017;friday
606;A NOITE;30;1;2004;friday
607;A NOITE;30;1;2015;friday
608;A NOITE;30;3;2012;friday
609;A NOITE;30;3;2018;friday
610;A NOITE;30;5;1997;friday
611;A NOITE;30;5;2014;friday
612;A NOITE;30;6;2006;friday
613;A NOITE;30;6;2017;friday
614;A NOITE;30;8;1996;friday
615;A NOITE;30;8;2013;friday
616;A NOITE;30;9;1977;friday
617;A NOITE;30;9;2005;friday
618;A NOITE;30;9;2011;friday
619;A NOITE;30;9;2016;friday
620;A NOITE;30;10;2009;friday
621;A NOITE;30;10;2015;friday
622;A NOITE;30;11;2012;friday
623;A NOITE;30;11;2018;friday
624;A NOITE;30;12;2011;friday
625;A NOITE;30;12;2016;friday
626;A NOITE;31;1;2014;friday
627;A NOITE;31;3;2017;friday
628;A NOITE;31;5;2013;friday
629;A NOITE;31;5;2019;friday
630;A NOITE;31;7;2015;friday
631;A NOITE;31;8;2012;friday
632;A NOITE;31;8;2018;friday
633;A NOITE;31;10;1997;friday
634;A NOITE;31;10;2014;friday
635;A NOITE;31;12;2010;friday
636;A NOITE;1;1;1990;monday
637;A NOITE;1;1;2001;monday
